Fornecedor,Contato,Endereço,Telefone,Municipio,Estado,Cep,Inscrição Estadadual,CNPJ/CPF,Data de Aprovação,Produtos e Serviços Oferecidos,Avaliação do Fornecedor,Vencimento
PROMETAIS INDUSTRIA E COMERCIO DE PRODUTOS,"Jefferson
https://prometais.com.br/","Avenida Marginal José Pandolfo, S/N",(19) 99239-9401,Santo Antonio de Posse,São Paulo,13833-601,630.032.030.115,26.522.461/0001-18,04/02/2020,Fornecimento de chapas em aço carbono,Auto-Avaliação - 100% - Excelente - I,04/02/2021
RFR COMERCIO E RECICLAGEM DE RESIDUOS LTDA.,"Daniela 
daniela@gruporfr.com.br","RUA JOSE MARQUES PRATA, 105 - VILA DO PALACIO",(11) 2246-1350,Guarulhos,São Paulo,07.034-090,336.742.199.111,07.100.026/0001-50,10/09/2020,AÇO INOXIDÁVEL ,Auto-Avaliação - 89% - Excelente - I,10/09/2022
RHOFERAÇO Comercio de Ferro e Aço Ltda.,André lg@rhoferaco.com.br,"Av. Presidente Juscelino K. de Oliveira, 208 - Distrito Industrial",(19) 3458-8990,Santa Bárbara D'oeste,São Paulo,13457-190,606.274.092.117,31.239.283/0001-52,08/02/2023,"Venda de perfis laminados, perfis U, tubos quadrados, retangulares e redondos",Auto-Avaliação - 90% - Excelente - I,08/02/2025
RIOMAK IND E COM DE AÇO LTDA,,,0,,,,-,,14/05/2019,chapas / perfis dobrados,Auto-Avaliação - 92% - Excelente - I,14/05/2021
RODERO PINTURA ELETROSTATICA LTDA,,,0,,,,-,,,,,
SA METAIS COMERCIAL LTDA,"PAULA DAIANE - 
compras.sametais@gmail.com
","R UNIAO,681 - PARQUE UNIAO",(11) 45887400,Jundiai,São Paulo,13206-650,407.183.099.119,68.075.613/0001-21,,,,
SANTOFER FERROS E PERFILADOS LTDA,fernando@santofer.com.br,"Rua Cristiano Kilmeyers, 721 - Parque Industrial Harmonia",(19) 3466-3213,Nova Odessa,São Paulo,13460-000,-,01.291.412/0001-90,18/09/2018,METALÚRGICO,Auto-Avaliação - 95% - Excelente - I,18/09/2020
SETEFER COMÉRCIO DE PRODUTOS SIDERÚRGICOS,Alan - alan@setefer.com.br,"AVENIDA HENRY FORD, 1700
PARQUE DA MOÓCA",(11) 96688-7740,São Paulo,São Paulo,03109-000,111.453.633.114,60.806.460/0005-67,24/11/2019,Comercialização de produtos siderúrgicos planos e não-planos para aplicação na indústria e construção civil.,Certificado ISO 9001:2015,24/11/2022
SHOCKMETAIS NÃO FERROSOS LTDA.,Fabiana Freita - shock.campinas@shockmetais.com.br,"Rua Fausto, 48 Moinho Velho",(19) 3734-1611,São Paulo,São Paulo,04285-080,111.306.418.117,54.800.768/0001-79,09/08/2019,Comércio de metais não ferrosos em geral,Certificado ISO 9001:2015,09/08/2022
Silfer Produtos Siderúrgicos,Joel - joelsilfer@hotmail.com,"Estr. Antonio Abdalla, 341 - Jardim California",(19) 3414-8800,Piracicaba,São Paulo,13424-700,-,,26/07/2022,Comércio de ferro e aço e acessórios para serralheria,Auto-Avaliação - 90% - Excelente - I,26/07/2024
SO METAIS COMERCIO DE METAIS LTDA,Rosemeire Sanches - vendas@sometais.com.br,"Av. Presidente Altino, 2900 - Jaguaré",(11) 3622-7721,São Paulo,São Paulo,05323-002,116.982.449.111,07.191.013/0001-34,03/02/2022,metais não ferrosos com foco na distribuição e prestação de serviços de alumínio,Auto-Avaliação - 87% - Excelente - I,03/02/2024
Soluções em Aço Usiminas S. A.,joao.moraes@solucoesusiminas.com,"Avenida Doutor Angêlo Teixeira da Costa, 602, Frimisa -  - Santa
Luzia / MG Brasil",(61) 9 9927 8295,Santa Luzia,Minas Gerais,33045-170,-,,14/04/2019,"COMERCIALIZAÇÃO E PROCESSAMENTO DE PRODUTOS LAMINADOS
PLANOS DE AÇO E COMERCIALIZAÇÃO DE BOBINAS DE AÇO.",Certificado ISO 9001:2015,25/10/2022
SUMARACO COMERCIO DE FERRO E ACO LTDA - EPP,junior@sumaraco.com.br,"RUA AMALIA DEMO FRANCESCHINI, 278 - JARDIM SAO DOMINGOS",(19) 3828-7770,SUMARE,São Paulo,13174-090,-,,25/07/2019,"A Sumaraço é uma distribuidora com diversas linhas de produtos siderúrgicos, com certificado de usinas; como chapas, tubos, vigas, laminados para as mais diversas áreas, desde industrial , construção civil e até o consumidor final.",Auto-Avaliação - 100% - Excelente - I,25/07/2021
Técnica Calibração e Manutenção LTDA.,Paulo Guide - Gerente da Qualidade - sgq@tecnicalab.com.br,RUA DOS CRISÂNTEMOS,(19) 3478-4935,Americana,São Paulo,13466-570,-,,15/11/2018,Calibração de instrumetos de metrologia,Auto-Avaliação - 100% - Excelente - I,15/11/2020
TELASHOP IND. E COMERC. DE TELAS LTDA,Gabriel - gabriel@telashop.com.br,"RUA Quata, 43 JARDIM DO TREVO",(19) 3267-7437,Campinas,SP,13.040-013,795411598110,18.814.310/0001-05,28/09/2022,"especializada em Gradil, concertinas e telas de alambrados sob medida para empresas, indústrias e construção civil",Auto-Avaliação - 88% - Excelente - I,28/09/2024
TETRAFERRO LTDA,"Alberto Pereira Amorim
alberto.amorim@tetraferro.com.br","Rua Alto Paraguai, 593 - Jaçanã",(011) 3376-7660,São Paulo,São Paulo,02238-240,108.409.159.111,62.886.049/0001-40,01/06/2022,"Fabricação de perfis dobrados, corte de chapas, tubos, vigas e barras laminadas e não planas.",Certificado ISO 9001:2015,31/05/2025
TOTAL FINISHING EQUIPAMENTOS E ABRASIVOS LTDA,vendas@totalfinishing.com.br,"RUA OURO BRANCO, 580 - RECANTO CAMPESTRE JOIA",(19) 3935-4292,INDAIATUBA,São Paulo,13347-120,353.218.226.116,00.643.828/0001-68,22/02/2021,Tamboreamento,Auto-Avaliação - 89% - Excelente - I,22/02/2023
TUBOFER SERRALHERIA LTDA - ME,financeiro@tubofer.com.br,AV. CILLOS 4169 - PQ. NOVO MUNDO,19-3461-5491,Americana,São Paulo,13467-600,-,,16/04/2021,SERVIÇOS DE SOLDA E ARTEFATOS EM INOX,Auto-Avaliação - 88% - Excelente - I,16/04/2023
TUBOS OLIVEIRA LTDA,Elizangela Melo - Vendas,"Av. Amâncio Gaiolli, 1065 Bonsucesso Rod. Pres. Dutra - Km 208",(11) 3186-8006,Guarulhos,São Paulo,07251-250 ,336.298.651.115,57.424.244/0001-19,24/11/2017,Industrialização e Distribuição de Tubos de Aço,Certificado ISO 9001:2015,24/11/2020
VEM DO ACO INDUSTRIA E COMERCIO LTDA,Silva -  compras@vendoaco.com.br,RODOVIA JORNALISTA FRANCISCO AGUIRRE PROENCA,(19) 98217-0031,MONTE MOR,SP,13.193-593,465113391118,45.701.902/0001-93,28/09/2022,Comércio atacadista de produtos siderúrgicos e metalúrgicos,Auto-Avaliação - 87% - Excelente - I,28/09/2024
ZINKTEC TRATAMENTO DE SUPERFICIE LTDA,WANDER - orcamento@zinktec.com.br,"RUA VEREADOR SERGIO LEOPOLDINO ALVES, 113 - CIDADE INDUSTRIAL",(19) 3044-4410,Santa Bárbara d'Oeste,São Paulo,13.456-166,606.202.612.110,07.600.519/0001-50,09/08/2021,Seviço de corte em chaparia,Auto-Avaliação - 86% - Excelente - I,09/08/2023
ACOFER INDUSTRIA E COMERCIO LTDA, Felipe - acofer01@acofer.com.br,"RUA 1851, 0, PARQUE MAIRA",(11) 4472-5155,Pinheiral,Rio de Janeiro,27.197-000,11386342,33.031.724/0001-51,02/12/2022,"Industria e comercio de perfis, tubos de aço com costura, telhas em aço galvanizado, esquadrias metálicas, ferros para construção, arames",Auto-Avaliação - 91% - Excelente - I,02/12/2024
Soufer Industrial LTDA - Cambuí 1,Priscila - centroaco2@terra.com.br,"ROD. FERNAO DIAS, Rio do Peixe, 01",(19) 3634-3600,Cambuí,MG,37.600-000,5250835350013,45.987.062/0006-81,19/09/2022,"Fornecedor de tubos, chapas, perfis, telhas metálicas, telhas termoacuticas e outros produtos metálicos.",Certificado ISO 9001:2015,01/05/2025
SSAB SC,Silvio - comercial@ssab.com,"BR 280, KM 34 - Itinga, 1605",(11) 3303-0800,Araquari,SC,89.245-000,257885501,05.892.426/0004-63,21/01/2022,"Fornecedor de tubos, chapas, perfis, placas",Certificado ISO 9001:2015,20/01/2025
REFILAUQ METALURGICA LTDA,Mary - vendas02@refilauq.com.br,"RUA DOM BOSCO, 800 Santa Catarina",(19) 3407-2033,Americana,SP,13.466-327,165643069111,49.532.174/0001-94,25/04/2023,Serviços de corte em chapas,Auto-Avaliação - 89% - Excelente - I,25/04/2025
